Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,MD5 Hash,Weird/Bad/Missing Data
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",POKEMON BLUE,MBC3+RAM+Battery,MBC3,64,4,0x4000,0x100000,True,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),50927e843568814f7ed45ec4f944bd8b,False
Mega Man Xtreme (USA).gbc,MEGAMAN XBM6E,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Capcom,False,Extra CGB Functions,False,0,Non-Japan (0x1),4681f5b931a2e60ca163facd1adf56ed,False
Collection Pocket (Japan) (SGB Enhanced).gb,COLLECTION POCKE,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'D6',D6)",False,None,True,0,Japan,1c0fab1d2d046bee898372bed404c31a,True
Goal! (USA).gb,GOAL!,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Jaleco,True,None,False,0,Non-Japan (0x1),009aea0ac7f214ff6f3c8c070d4a6421,False
"Hyper Black Bass '95 (Japan) (En,Ja).gb",HYPER BB 95,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'0H',0H)",False,None,False,0,Japan,d9da15a5481fdc184d75c6d190d45fd3,True
Doraemon no Study Boy 2 - Shou 1 Sansuu Keisan (Japan).gb,STUDYBOY SANSU 1,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'DJ',DJ)",False,None,False,0,Japan,a78457ae06f670c5ec173f8d2ca605d5,True
Tetris Plus (Japan) (SGB Enhanced).gb,TETRIS PLUS,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,"UNKNOWN(b'0A',0A)",False,None,True,0,Japan,d9cb4470f5320cac32fc2bc17e1e9d7b,True
Block Kuzushi GB (Japan) (SGB Enhanced).gb,BLOCKGB,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,POW,False,None,True,0,Japan,55ef8421492242c2726e355c41aef000,False
A-mazing Tater (USA).gb,AMAZING-TATER,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Atlus,True,None,False,0,Non-Japan (0x1),53b746bff74c50cd3ebcf41161c66cf3,False
Teenage Mutant Hero Turtles II - Back from the Sewers (Europe).gb,TMHT BACK FROM S,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Konami,True,None,False,0,Non-Japan (0x1),b439f2ca31e47f7ac4ea4a95cc6c9fa5,False
"Smurfs Travel the World, The (Europe) (En,Fr,De,Es).gb",SMURFS2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Infogrames,False,None,False,0,Non-Japan (0x1),072e25973dc896758749c55d2698be88,False
